state,st_case,county,city,day,month,year,day_week,hour,minute,latitude,longitud,fatals
36,360723,69,1640,13,11,2018,3,21,30,42.88304444,-77.4387,1
36,360724,83,940,5,11,2018,2,0,31,42.54230833,-73.6657,1
36,360725,59,2600,14,11,2018,4,13,25,40.67795833,-73.5021,1
36,360726,59,3380,13,11,2018,3,14,40,40.65674722,-73.66,1
36,360727,103,2920,16,11,2018,6,11,10,40.73665833,-73.2425,1
36,360728,111,3060,19,11,2018,2,17,56,41.93030556,-74.0356,1
36,360729,59,4600,19,11,2018,2,16,0,40.68676111,-73.4671,1
36,360730,5,4170,17,11,2018,7,6,54,40.80658056,-73.9241,1
36,360731,29,5475,30,9,2018,1,7,26,42.54158056,-78.4737,1
36,360732,5,4170,7,11,2018,4,18,30,40.84196667,-73.8858,1
36,360733,119,5893,7,11,2018,4,18,30,41.27213889,-73.6072,1
36,360734,103,5810,9,11,2018,6,12,40,40.82701389,-72.6733,1
36,360735,65,5260,10,11,2018,7,23,39,43.18974722,-75.4531,1
36,360736,47,4170,2,10,2018,3,23,10,40.64208333,-73.9302,1
36,360737,115,2360,11,11,2018,1,8,29,43.42853056,-73.3049,1
36,360738,105,5244,12,11,2018,2,16,30,99.9999,999.9999,1
36,360739,23,1380,12,11,2018,2,14,17,99.9999,999.9999,1
36,360740,81,4170,15,11,2018,5,22,40,40.747425,-73.7081,1
36,360741,59,3190,8,11,2018,5,13,48,40.61065,-73.7434,1
36,360742,61,4170,31,10,2018,4,21,16,40.84868056,-73.9393,1
36,360744,61,4170,26,11,2018,2,18,45,40.71504722,-73.9946,1
36,360745,81,4170,23,11,2018,6,21,30,40.65626111,-73.7673,1
36,360746,81,4170,28,11,2018,4,18,2,40.70362778,-73.7495,1
36,360747,47,4170,21,11,2018,4,7,15,40.70085278,-73.9905,1
36,360748,7,6740,8,8,2018,4,22,35,42.05581111,-75.611,1
36,360749,7,1119,23,11,2018,6,18,21,42.14674722,-75.9015,1
36,360750,13,4650,3,9,2018,2,20,32,42.06366111,-79.4708,1
36,360751,71,1140,23,8,2018,5,22,35,41.37034722,-74.2641,1
36,360752,59,4090,22,11,2018,5,20,15,40.74676111,-73.5956,1
36,360753,81,4170,3,11,2018,7,14,34,40.76901944,-73.8337,1
36,360754,113,6390,14,9,2018,6,5,21,43.5872,-73.7993,1
36,360755,81,4170,10,11,2018,7,17,9,40.77330278,-73.8247,1
36,360756,95,5570,6,10,2018,7,13,55,42.70031944,-74.3018,20
36,360757,29,1770,14,11,2018,4,16,24,42.61088056,-78.8719,1
36,360758,59,4600,13,11,2018,3,6,43,40.80002222,-73.4636,1
36,360759,61,4170,15,11,2018,5,11,32,40.71508333,-73.9967,1
36,360760,81,4170,5,11,2018,2,14,40,40.73177778,-73.8176,1
36,360761,67,1539,15,11,2018,5,6,35,43.09868889,-76.1102,1
36,360762,81,4170,14,10,2018,1,1,25,40.69166111,-73.7541,1
36,360763,59,3120,26,11,2018,2,18,21,40.78040833,-73.7158,1
36,360764,79,900,27,11,2018,3,23,4,41.44510833,-73.67399999999999,1
36,360765,101,420,24,11,2018,7,11,47,42.169825,-77.1105,1
36,360766,27,3084,28,10,2018,1,10,34,41.69734444,-73.8218,1
36,360767,57,2210,27,11,2018,3,7,43,42.93931667,-74.3508,1
36,360768,59,3190,1,12,2018,7,17,45,40.61517222,-73.7237,1
36,360769,93,5590,28,11,2018,4,18,37,42.82475,-73.9609,1
36,360770,47,4170,1,12,2018,7,18,24,40.58500278,-73.9412,1
36,360771,5,4170,1,12,2018,7,11,37,40.91242778,-73.9027,1
36,360772,59,4600,5,12,2018,4,17,20,40.79812778,-73.4884,1
36,360773,117,5500,7,12,2018,6,18,58,43.07036389,-76.7934,1
36,360774,47,4170,10,12,2018,2,4,18,40.68422222,-73.9944,1
36,360775,89,2330,2,12,2018,1,10,33,44.30776111,-75.4496,1
36,360776,47,4170,7,12,2018,6,21,58,40.66147222,-73.8941,1
36,360777,103,2840,2,8,2018,5,0,1,40.84696111,-73.3671,1
36,360779,111,4100,5,11,2018,2,17,27,41.74462222,-74.0747,1
36,360780,39,970,11,12,2018,3,14,19,42.21774722,-73.8748,1
36,360781,103,2920,8,9,2018,7,20,10,40.79272222,-73.1189,1
36,360782,117,6365,28,11,2018,4,15,7,43.203375,-77.3459,1
36,360783,29,156,18,11,2018,1,16,32,42.98927778,-78.6968,1
36,360784,65,6270,5,12,2018,4,23,13,43.07245556,-75.4911,1
36,360785,13,1232,3,12,2018,2,15,12,42.07921111,-79.7396,1
36,360786,119,5350,2,8,2018,5,1,16,40.98748333,-73.6706,1
36,360787,47,4170,11,12,2018,3,8,2,40.58821111,-73.9716,1
36,360788,103,1039,1,10,2018,2,20,5,40.85905556,-73.0791,1
36,360789,115,790,7,12,2018,6,17,45,43.02825278,-73.3867,1
36,360790,103,5769,29,9,2018,7,20,0,40.83036667,-73.1346,1
36,360791,33,5460,10,11,2018,7,6,41,44.35324722,-74.1446,1
36,360792,15,1850,13,11,2018,3,5,48,42.02626667,-76.8898,1
36,360793,71,4060,6,12,2018,5,19,2,41.51846111,-73.9867,1
36,360794,115,2440,10,12,2018,2,12,47,43.07570556,-73.5291,1
36,360795,59,4430,13,12,2018,5,15,0,40.81167778,-73.5653,1
36,360796,103,5810,13,12,2018,5,16,50,40.894075,-72.3443,1
36,360797,33,1548,15,11,2018,5,8,45,44.74836944,-74.5641,1
36,360798,81,4170,26,11,2018,2,19,12,40.70292222,-73.9111,1
36,360799,59,4090,13,12,2018,5,20,40,40.74951389,-73.5797,1
36,360800,47,4170,14,12,2018,6,0,52,40.67435556,-73.87899999999999,1
36,360801,81,4170,17,12,2018,2,6,20,40.74211111,-73.9092,1
36,360802,81,4170,18,12,2018,3,16,1,40.65918333,-73.84,1
36,360803,81,4170,2,11,2018,6,1,21,40.72617778,-73.9201,1
36,360804,47,4170,12,12,2018,4,6,58,40.63783056,-73.9788,1
36,360805,29,1170,9,12,2018,1,12,43,42.987825,-78.6969,1
36,360806,65,403,10,12,2018,2,21,55,43.23341111,-75.2354,1
36,360807,103,5210,17,12,2018,2,23,26,99.9999,999.9999,1
36,360808,117,5790,11,12,2018,3,14,37,43.21971389,-77.0124,1
36,360809,27,2785,12,12,2018,4,16,10,41.595975,-73.7993,1
36,360810,15,2800,18,12,2018,3,13,3,42.19410833,-76.8139,1
36,360811,111,3060,16,12,2018,1,8,34,41.93610278,-74.0408,1
36,360812,65,6220,10,11,2018,7,2,7,43.07764444,-75.2083,1
36,360813,71,4060,28,11,2018,4,5,40,41.51278056,-74.0202,1
36,360814,55,2248,18,12,2018,3,17,47,43.14705278,-77.711,1
36,360815,85,4170,19,12,2018,4,17,41,99.9999,999.9999,1
36,360816,11,3880,30,11,2018,6,14,48,42.75869167,-76.3313,1
36,360817,61,4170,20,12,2018,5,19,31,40.7158,-74.0018,1
36,360818,65,1220,22,12,2018,7,7,50,43.04276111,-75.3186,1
36,360819,63,4210,24,12,2018,2,17,8,43.09608889,-78.9843,1
36,360820,103,360,24,12,2018,2,23,3,40.76368611,-73.312,1
36,360821,105,3850,26,11,2018,2,17,5,99.9999,999.9999,1
36,360822,59,2600,7,12,2018,6,19,16,40.71351111,-73.6209,1
36,360823,81,4170,31,12,2018,2,12,44,40.749675,-73.8852,1
36,360824,61,4170,29,12,2018,7,7,23,40.72146111,-74.0118,1
36,360825,85,4170,31,12,2018,2,17,24,40.61273889,-74.1272,1
36,360826,21,332,13,12,2018,5,14,0,42.33794722,-73.4187,1
36,360827,17,4050,15,12,2018,7,1,34,42.68420278,-75.3547,1
36,360828,87,5980,21,12,2018,6,15,15,41.29569167,-74.029,1
36,360829,19,475,16,12,2018,1,1,28,44.78276389,-73.4386,1
